Feature,Kategori,Keep,Alasan
qty_dot_url,A - URL-only / Lexical,Keep,
qty_hyphen_url,A - URL-only / Lexical,Keep,
qty_underline_url,A - URL-only / Lexical,Keep,
qty_slash_url,A - URL-only / Lexical,Keep,
qty_equal_url,A - URL-only / Lexical,Keep,
qty_at_url,A - URL-only / Lexical,Keep,
qty_and_url,A - URL-only / Lexical,Keep,
qty_percent_url,A - URL-only / Lexical,Keep,
qty_tld_url,A - URL-only / Lexical,Keep,
length_url,A - URL-only / Lexical,Keep,
qty_dot_domain,B - Content/HTML-based,Keep,
qty_hyphen_domain,B - Content/HTML-based,Keep,
qty_vowels_domain,B - Content/HTML-based,Keep,
domain_length,B - Content/HTML-based,Keep,
qty_dot_directory,A - URL-only / Lexical,Keep,
qty_hyphen_directory,A - URL-only / Lexical,Keep,
qty_underline_directory,A - URL-only / Lexical,Keep,
qty_slash_directory,A - URL-only / Lexical,Keep,
qty_questionmark_directory,A - URL-only / Lexical,Keep,
qty_equal_directory,A - URL-only / Lexical,Keep,
qty_at_directory,A - URL-only / Lexical,Keep,
qty_and_directory,A - URL-only / Lexical,Keep,
qty_exclamation_directory,A - URL-only / Lexical,Keep,
qty_space_directory,A - URL-only / Lexical,Keep,
qty_tilde_directory,A - URL-only / Lexical,Keep,
qty_comma_directory,A - URL-only / Lexical,Keep,
qty_plus_directory,A - URL-only / Lexical,Keep,
qty_asterisk_directory,A - URL-only / Lexical,Keep,
qty_hashtag_directory,A - URL-only / Lexical,Keep,
qty_dollar_directory,A - URL-only / Lexical,Keep,
qty_percent_directory,A - URL-only / Lexical,Keep,
directory_length,A - URL-only / Lexical,Keep,
qty_dot_file,A - URL-only / Lexical,Keep,
qty_hyphen_file,A - URL-only / Lexical,Keep,
qty_underline_file,A - URL-only / Lexical,Keep,
qty_slash_file,A - URL-only / Lexical,Keep,
qty_questionmark_file,A - URL-only / Lexical,Keep,
qty_equal_file,A - URL-only / Lexical,Keep,
qty_at_file,A - URL-only / Lexical,Keep,
qty_and_file,A - URL-only / Lexical,Keep,
qty_exclamation_file,A - URL-only / Lexical,Keep,
qty_space_file,A - URL-only / Lexical,Keep,
qty_tilde_file,A - URL-only / Lexical,Keep,
qty_comma_file,A - URL-only / Lexical,Keep,
qty_plus_file,A - URL-only / Lexical,Keep,
qty_asterisk_file,A - URL-only / Lexical,Keep,
qty_hashtag_file,A - URL-only / Lexical,Keep,
qty_dollar_file,A - URL-only / Lexical,Keep,
qty_percent_file,A - URL-only / Lexical,Keep,
file_length,A - URL-only / Lexical,Keep,
qty_dot_params,A - URL-only / Lexical,Keep,
qty_hyphen_params,A - URL-only / Lexical,Keep,
qty_underline_params,A - URL-only / Lexical,Keep,
qty_slash_params,A - URL-only / Lexical,Keep,
qty_questionmark_params,A - URL-only / Lexical,Keep,
qty_equal_params,A - URL-only / Lexical,Keep,
qty_at_params,A - URL-only / Lexical,Keep,
qty_and_params,A - URL-only / Lexical,Keep,
qty_exclamation_params,A - URL-only / Lexical,Keep,
qty_space_params,A - URL-only / Lexical,Keep,
qty_tilde_params,A - URL-only / Lexical,Keep,
qty_comma_params,A - URL-only / Lexical,Keep,
qty_plus_params,A - URL-only / Lexical,Keep,
qty_asterisk_params,A - URL-only / Lexical,Keep,
qty_hashtag_params,A - URL-only / Lexical,Keep,
qty_dollar_params,A - URL-only / Lexical,Keep,
qty_percent_params,A - URL-only / Lexical,Keep,
params_length,A - URL-only / Lexical,Keep,
tld_present_params,A - URL-only / Lexical,Keep,
qty_params,A - URL-only / Lexical,Keep,
email_in_url,A - URL-only / Lexical,Keep,
time_response,A - URL-only / Lexical,Remove,Memerlukan koneksi HTTP untuk mengukur response time.
domain_spf,B - Content/HTML-based,Remove,Memerlukan query DNS TXT record.
asn_ip,C - External service dependent,Remove,Memerlukan lookup ASN melalui DNS atau layanan eksternal.
time_domain_activation,B - Content/HTML-based,Remove,Memerlukan data WHOIS.
time_domain_expiration,B - Content/HTML-based,Remove,Memerlukan data WHOIS.
qty_ip_resolved,A - URL-only / Lexical,Remove,Memerlukan proses DNS resolution.
qty_nameservers,A - URL-only / Lexical,Remove,Memerlukan query DNS.
qty_mx_servers,A - URL-only / Lexical,Keep,
ttl_hostname,A - URL-only / Lexical,Remove,Memerlukan DNS lookup.
tls_ssl_certificate,C - External service dependent,Remove,Memerlukan TLS handshake dengan server.
qty_redirects,B - Content/HTML-based,Keep,
